蛋,タマゴ,Egg
好胜蟹,マケンカニ,Crabrawler
好胜毛蟹,ケケンカニ,Crabominable
花舞鸟,オドリドリ,Oricorio
萌虻,アブリー,Cutiefly
蝶结萌虻,アブリボン,Ribombee
岩狗狗,イワンコ,Rockruff
鬃岩狼人,ルガルガン,Lycanroc
弱丁鱼,ヨワシ,Wishiwashi
好坏星,ヒドイデ,Mareanie
超坏星,ドヒドイデ,Toxapex
泥驴仔,ドロバンコ,Mudbray
重泥挽马,バンバドロ,Mudsdale
滴蛛,シズクモ,Dewpider
滴蛛霸,オニシズクモ,Araquanid
伪螳草,カリキリ,Fomantis
兰螳花,ラランテス,Lurantis
睡睡菇,ネマシュ,Morelull
灯罩夜菇,マシェード,Shiinotic
夜盗火蜥,ヤトウモリ,Salandit
焰后蜥,エンニュート,Salazzle
童偶熊,ヌイコグマ,Stufful
穿着熊,キテルグマ,Bewear
甜竹竹,アマカジ,Bounsweet
甜舞妮,アママイコ,Steenee
甜冷美后,アマージョ,Tsareena
花疗环环,キュワワー,Comfey
智挥猩,ヤレユータン,Oranguru
投掷猴,ナゲツケサル,Passimian
胆小虫,コソクムシ,Wimpod
具甲武者,グソクムシャ,Golisopod
沙丘娃,スナバァ,Sandygast
噬沙堡爷,シロデスナ,Palossand
拳海参,ナマコブシ,Pyukumuku
属性：空,タイプ：ヌル,Type: Null
银伴战兽,シルヴァディ,Silvally
小陨星,メテノ,Minior
树枕尾熊,ネッコアラ,Komala
爆焰龟兽,バクガメス,Turtonator
托戈德玛尔,トゲデマル,Togedemaru
谜拟Ｑ,ミミッキュ,Mimikyu
磨牙彩皮鱼,ハギギシリ,Bruxish
老翁龙,ジジーロン,Drampa
破破舵轮,ダダリン,Dhelmise
心鳞宝,ジャラコ,Jangmo-o
鳞甲龙,ジャランゴ,Hakamo-o
杖尾鳞甲龙,ジャラランガ,Kommo-o
卡璞・鸣鸣,カプ・コケコ,Tapu Koko
卡璞・蝶蝶,カプ・テテフ,Tapu Lele
卡璞・哞哞,カプ・ブルル,Tapu Bulu
卡璞・鳍鳍,カプ・レヒレ,Tapu Fini
科斯莫古,コスモッグ,Cosmog
科斯莫姆,コスモウム,Cosmoem
索尔迦雷欧,ソルガレオ,Solgaleo
露奈雅拉,ルナアーラ,Lunala
虚吾伊德,ウツロイド,Nihilego
爆肌蚊,マッシブーン,Buzzwole
费洛美螂,フェローチェ,Pheromosa
电束木,デンジュモク,Xurkitree
铁火辉夜,テッカグヤ,Celesteela
纸御剑,カミツルギ,Kartana
恶食大王,アクジキング,Guzzlord
奈克洛兹玛,ネクロズマ,Necrozma
玛机雅娜,マギアナ,Magearna
玛夏多,マーシャドー,Marshadow
