A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.	For some time after its birth, it grows by gaining nourishment from the seed on its back.		redbluedex leafgreendex	dpptdex bwdex b2w2dex	
Long ago, people imagined its eerie howls to be the call of the grim reaper.	The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever.		dpdex	platinumdex b2w2dex	
It is said that it usually hides in underwater caves. It can create whirlpools by yawning.			leafgreendex stadium2dex heartgolddex		
As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying.	It is strong despite its compact size. It can easily pick up and carry an adult human on its back.		silverdex firereddex soulsilverdex	dpptdex bwdex b2w2dex	
					
					
					
It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks.	Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back.		dpptdex bwdex b2w2dex	silverdex firereddex soulsilverdex	
It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.	To brush up on its fighting skills, it will challenge anyone. It has a very strong competitive spirit.		golddex stadium2dex leafgreendex heartgolddex	crystaldex	
					
Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.	It tests everything by touching with its lips, which remember what it likes and dislikes.		golddex stadium2dex leafgreendex heartgolddex	dpptdex bwdex b2w2dex	
It generates electricity by whirling its arms. However, it can't store the energy it makes.			dpdex		
					
If it is around babies, the milk it produces contains much more nutrition than usual.	Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.		soulsilverdex	stadium2dex leafgreendex heartgolddex	
					
					
					
					
It feeds on soil. After it has eaten a large mountain, it falls asleep so it can grow.	Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.		heartgolddex	b2w2dex	
Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket.	Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain.		dpptdex bwdex	heartgolddex	
In just one of its mighty hands, it has the power to make the ground shake and mountains crumble.	If it rampages, it knocks down mountains and buries rivers. Maps must be redrawn afterward.		crystaldex	dpptdex bwdex	
					
					
					
					
					
					
It has a flame sac inside its belly that perpetually burns. It feels warm if it is hugged.	A fire burns inside, so it feels very warm to hug. It launches fireballs of .		frlgdex	dpptdex bwdex b2w2dex	
Its kicking mastery lets it loose 10 kicks per second. It emits sharp cries to intimidate foes.	During a battle, the hot flame in its body increases. Its kicks have outstanding destructive power.		dpptdex bwdex b2w2dex	hgssdex	
It can clear a 30-story building in a leap. Its fiery punches scorch its foes.	When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings.		hgssdex	frlgdex	
					
					
					
A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted.	It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without every losing track.		dpptdex bwdex b2w2dex		
It will always obey the commands of a skilled Trainer. Its behavior arises from its living in packs in ancient times.	It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.			hgssdex	
It walks in zigzag fashion. It's good at finding items in the grass and even in the ground.	A Pokémon with abundant curiosity. It shows an interest in everything, so it always zigzags.				
		When running in a straight line, it can easily top . It has a tough time with curved roads.			hgssdex
					
					
					
Its body, which is made of soft silk, hardens over time. When cracks appear, evolution is near.			frlgdex		
					
It looks like an aquatic plant and serves as a ferry to Pokémon that can't swim.	It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.		dpptdex bwdex b2w2dex	frlgdex	
It lives at the water's edge where it is sunny. It sleeps on a bed of water-grass by day and becomes active at night.	It has a mischievous spirit. If it spots an angler, it will tug on the fishing line to interfere.			dpptdex bwdex b2w2dex	
If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance.	The rhythm of bright, festive music activates Ludicolo's cells, making it more powerful.		dpptdex bwdex b2w2dex	frlgdex	
					
					
					
It has a gutsy spirit that makes it bravely take on tough foes. It flies in search of warm climates.	It dislikes cold seasons. They migrate to other lands in search of warmth, flying over  a day.		dpptdex bwdex b2w2dex	frlgdex	
					
Catching sea winds with its long wings, it soars as if it were a glider. It folds its wings to rest.	It makes its nest on steep sea cliffs. Riding updrafts, it soars to great heights.		pearldex	diamonddex	
It dips its large bill in the sea, then scoops up numerous prey along with water.			diamonddex		
If its horns capture the warm feelings of people or Pokémon, its body warms up slightly.	It is highly attuned to the emotions of people and Pokémon. It hides if its senses hostility.		platinumdex bwdex b2w2dex		
The cheerful spirit of its Trainer gives it energy for its psychokinetic power. It spins and dances when happy.	It has a psychic power that enables it to distort the space around it and see into the future.		frlgdex	hgssdex	
To protect its Trainer, it will expend all its psychic power to create a small black hole.	It has the power to predict the future. Its power peaks when it is protecting its Trainer.		platinumdex bwdex b2w2dex	frlgdex	
They usually live on ponds, but after an evening shower, they may appear on puddles in towns.	It appears as if it is skating on water. It draws prey with a sweet scent from the tip of its head.		frlgdex	dpptdex bwdex b2w2dex	
Its antennae have eye patterns on them. Its four wings enable it to hover and fly in any direction.	It flaps its four wings to hover and fly freely in any direction--to and fro and sideways.		dpptdex bwdex b2w2dex	hgssdex	
					
	It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.			hgssdex	
					
					
					
Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead.	It can sometimes live underground for more than 10 years. It absorbs nutrients from the roots of trees.		frlgdex	hgssdex	
					
A discarded bug shell that came to life. Peering into the crack on its back is said to steal one's spirit.	A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.		dpptdex bwdex b2w2dex	frlgdex	
It usually murmurs but starts crying loudly if it senses danger. It stops when its ear covers are shut.	If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine.			hgssdex	
It shouts loudly by inhaling air, and then using its well-developed stomach muscles to exhale.			hgssdex		
	Its roar in battle shakes the ground like a tremor--or like an earthquake has struck.				
It toughens up by slamming into thick trees over and over. It gains a sturdy body and dauntless spirit.	It grows stronger by enduring harsh training. It is a gutsy Pokémon that can withstand any attack.		hgssdex	frlgdex	
It stomps on the ground to build power. It can send a 10-ton truck flying with a straight-arm punch.	It loves to match power with big-bodied Pokémon. It can knock a truck flying with its arm thrusts.		frlgdex	dpptdex bwdex b2w2dex	
A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.	It swings its large, nutrient-filled tail around to fight opponents bigger than itself.		diamonddex	b2w2dex	
Its magnetic nose always faces north and draws iron objects to its body to protect itself better.	Its magnetic nose consistently faces north. Travelers check Nosepass to get their bearings.		b2w2dex	frlgdex	
It can't stop itself from chasing moving things, and it runs in a circle, chasing its own tail.	It shows its cute side by chasing its own tail until it gets dizzy.		dpptdex bwdex	b2w2dex	
It dislikes dirty places. It often searches for a comfortable place in which to groom itself.	It is highly popular among female Trainers for its sublime fur. It does not keep a nest.		hgssdex	dpptdex bwdex	
It hides in the darkness of caves. Its diet of gems has transformed its eyes into gemstones.	It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.		dpptdex bwdex b2w2dex	hgssdex	
It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.	Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.		frlgdex	dpptdex bwdex b2w2dex	
It usually lives deep in mountains. However, hunger may drive it to eat railroad tracks and cars.	When it evolves, it sheds the steel carapace that covered its whole body and develops a new one.		dpptdex bwdex	hgssdex	
It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.	It habitually shows off its strength with the sparks it creates by ramming its steel body into boulders.		hgssdex		
It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly.	While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns.		b2w2dex	dpptdex bwdex	
It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.	It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper.		platinumdex bwdex b2w2dex	diamonddex	
It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion.	Through yoga training, it gained the psychic power to predict its foe's next move.		frlgdex		
Using electricity stored in its fur, it stimulates its muscles to heighten its reaction speed.	It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.		dpptdex bwdex b2w2dex	frlgdex	
It rarely appears before people. It is said to nest where lightning has fallen.	It discharges electricity from its mane. It creates a thundercloud overhead to drop lightning bolts.		frlgdex	bwdex b2w2dex	
It cheers on friends with pom-poms made of sparks. It drains power from telephone poles.	It absorbs electricity from telephone poles. It shorts out its body to create crackling noises.		dpptdex bwdex b2w2dex	hgssdex	
Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.	It cheers on friends. If its friends are losing, its body lets off more and more sparks.		hgssdex	b2w2dex	
It communicates with others by lighting up its rear at night. It loves Illumise's sweet aroma.	It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light.		dpptdex bwdex b2w2dex	frlgdex	
Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky.	With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.		hgssdex	dpptdex bwdex b2w2dex	
It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is.	Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.		b2w2dex	hgssdex	
It has a small heart and brain. Its stomach compromises most of its body, with enzymes to dissolve anything.	There is nothing its stomach can't digest. While it is digesting, vile, overpowering gases are expelled.		hgssdex	frlgdex	
It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.	It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.		dpptdex bwdex b2w2dex	hgssdex	
They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.	It lives in massive rivers that course through jungles. It swarms prey that enter its territory.		hgssdex	frlgdex	
Its fangs rip through sheet iron. It swims at  and is known as "The Bully of the Sea."	It can swim at speeds of  by jetting seawater through its body. It is the bandit of the sea.		dpptdex bwdex b2w2dex	hgssdex	
It bounces playfully like a ball. The more seawater it swallows, the higher it bounces.	It eats one ton of food every day. It plays by shooting stored seawater out its blowholes with great force.		hgssdex	b2w2dex	
It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.			b2w2dex		
					
The volcanoes on its back have a major eruption every 10 years -- or whenever it becomes really angry.	If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes.		b2w2dex	frlgdex	
You find abandoned coal mines full of them. They dig tirelessly in search of coal.	It burns coal inside its shell for energy. It blows out black soot if it is endangered.		hgssdex	dpptdex bwdex b2w2dex	
It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating.	It bounces around on its tail to keep its heart pumping. It carries a pearl from Clamperl on its head.		bwdex	hgssdex	
	It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.				
No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.	The chance of two Spinda having identical spot patterns is less than one in four billion.		dpptdex bwdex b2w2dex		
It lives in arid deserts. It makes a sloping pit trap in sand where it patiently awaits prey.	It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.		frlgdex	b2w2dex	
	It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid.			frlgdex	
It hides itself by kicking up desert sand with its wings. Red covers shield its eyes from sand.	Known as "The Desert Spirit," this Pokémon hides in the sandstorms it causes by beating its wings.		frlgdex	b2w2dex	
					
	Packs of them follow travelers through the desert until the travelers can no longer move.			hgssdex	
For some reason, it likes to land on people's heads softly and act like it's a hat.	It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.		b2w2dex	frlgdex	
It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.	On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano.		hgssdex	b2w2dex	
It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.	Its fur would all stand on end if it smelled a Seviper nearby. Its sharp claws tear up its foes.		dpptdex bwdex	hgssdex	
In battle, it uses its bladed tail to counter any Zangoose. It secretes a deadly venom in its tail.	Constant polishing makes the edge of the blade on its tail extremely sharp. It's Zangoose's archrival.		hgssdex	b2w2dex	
Because it turns active on nights of the full moon, it is said to have some link to the lunar phases.	It was discovered at the site of a meteor strike 40 years ago. Its stare can lull its foes to sleep.		dpptdex bwdex	hgssdex	
Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines.	It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking.		b2w2dex	frlgdex	
It coats its entire body with a slimy fluid so it can squirm and slip away if grabbed.	Its whiskers make a superb radar. They are used to locate prey, even in the murkiest of water.		diamonddex	pearldex	
It claims a large swamp to itself. If a foe comes near it, it sets off tremors by thrashing around.	It makes its nest at the bottom of swamps. It will eat anything - if it is alive, Whiscash will eat it.		hgssdex	frlgdex	
No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.	Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.		b2w2dex	dpptdex bwdex	
It is a ruffian that uses its pincers to pick up and toss out other Pokémon from its pond.	Loving to battle, this Pokémon pinches all Pokémon that enter its territory with its pincers and throws them out.		dpptdex bwdex	b2w2dex	
					
					
It disguises its tentacles as flowers to attract and catch prey. It became extinct in ancient times.			hgssdex		
					
					
					
					
					
It can freely change its body's color. The zigzag pattern on its belly doesn't change, however.	It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.		dpptdex bwdex b2w2dex	hgssdex	
It uses its horn to feed on envy and malice--or so it's said. It's very active at night.	It loves vengeful emotions and hangs in rows under the eaves of houses where vengeful people live.			dpptdex bwdex	
A doll that became a Pokémon over its grudge from being junked. It seeks the child that disowned it.	Strong feelings of hatred turned a puppet into a Pokémon. If it opens its mouth, its cursed energy escapes.		dpptdex bwdex	frlgdex	
					
Anyone who dares peer into its body to see its spectral ball of fire will have their spirit stolen away.			hgssdex		
	The bunch of fruit around its neck ripens twice a year and is delicious. It's a highly favored tropical snack.			hgssdex	
					
It senses coming disasters and appears before people only to warn them of impending danger.	It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom bringer.		dpdex		
It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.			frlgdex		
	In the snow country, certain folklore says a house will prosper if a Snorunt lives there.			dpdex	
					
They can't swim well yet, and they move much faster by rolling. When they're happy they clap fins.					
					
					
When it evolves, it makes a mysterious pearl that amplifies psychic powers when it's held.	It is protected by a . Once in a lifetime, it makes a magnificent pearl.		hgssdex	frlgdex	
It lives deep in the sea where no light ever filters down. It  its small fishlike tail to attract prey.					
It lives at the bottom of the sea. In the springtime, its pink body turns more vivid for some reason.	Its swimming form is exquisitely elegant. With its thin mouth, it feeds on  that grows between rocks.		dpptdex bwdex b2w2dex	frlgdex	
It has remained unchanged for 100 million years. It was discovered during a deep-sea exploration.	A rare Pokémon discovered during a deep-sea exploration. It has not changed in over 100 million years.		frlgdex	dpptdex bwdex b2w2dex	
It lives in warm seas. It is said that a couple finding this Pokémon will be blessed with eternal love.	During the spawning season, countless Luvdisc congregate at coral reefs, turning the waters pink.		dpptdex bwdex b2w2dex	frlgdex	
Its well-developed neck muscles and ironlike head can smash boulders into pieces.	Dreaming of one day flying, it practices by leaping off cliffs every day.		hgssdex	dpptdex bwdex b2w2dex	
Within its rugged shell, its cells have begun changing. The shell peels off the instant it evolves.	Its armored body makes all attacks bounce off. The armor is too tough, however, making it heavy and somewhat sluggish.		dpptdex bwdex b2w2dex	frlgdex	
It becomes uncontrollable if it is . It destroys everything with shredding claws and fire.	It's uncontrollable if . It flies around spouting flames and scorching fields and mountains.			hgssdex	
The magnetic force generated by its body repels the ground's natural magnetism, letting it float.			hgssdex		
It is formed by two Beldum joining together. Its steel body won't be scratched if it collides with a jet.	It is formed by two Beldum joining together. Its two brains are linked, amplifying its psychic power.		dpptdex bwdex	b2w2dex	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
They flock in great numbers. Though small, they flap their wings with great power.	They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.		diamonddex	hgssdex	
They maintain huge flocks, although fierce scuffles break out between various flocks.	It lives in forests and fields. Squabbles over territory occur when flocks collide.		hgssdex	pearldex	
The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.	When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.		pearldex	hgssdex	
With nerves of steel, nothing can perturb it. It is more agile and active than it appears.	It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.		diamonddex	pearldex	
It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.	It makes its nest by damming streams with bark and mud. It is known as an industrious worker.		hgssdex	diamonddex	
					
					
The extension and contraction of its muscles generates electricity. It glows when in trouble.			platinumdex bwdex b2w2dex		
					
					
When it feels the sun's warm touch, it opens its bud to release pollen. It lives alongside clear pools.	Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.		hgssdex	diamonddex	
					
It was resurrected from an iron ball-like fossil. It downs prey with its headbutts.					
					
					
					
To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.	If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.		diamonddex	pearldex	
	It flutters around at night and steals honey from the Combee hive.			hgssdex	
The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.	It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.		platinumdex bwdex	pearldex	
It houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding.	Its abdomen is a honeycomb for grubs.  It raises its grubs on honey collected by Combee.		b2w2dex		
It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.	A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.		diamonddex	platinumdex bwdex b2w2dex	
It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses.			pearldex		
It floats using its well-developed flotation sac. It assists in the rescues of drowning people.	Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.		diamonddex	pearldex	
					
					
	Its shape and coloration vary, depending on its habitat.			hgssdex	
When its natural enemy attacks, it oozes purple fluid and escapes.	It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.		hgssdex	pearldex	
They work in large colonies and make rings by linking their tails, apparently in friendship.			pearldex		
A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons.	These Pokémon are called the "Signpost for Wandering Spirits." Children holding them sometimes vanish.		diamonddex	b2w2dex	
	It's drowsy in daytime, but flies off in the evening in big groups. No one knows where they go.			diamonddex	
					
					
					
	Becoming active at night, it is known to swarm with numerous  in tow.			diamonddex	
					
					
Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries.	There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.			platinumdex bwdex b2w2dex	
It sprays a foul fluid from its rear. Its stench spreads over a  radius, driving Pokémon away.	It protects itself by spraying a noxious fluid from its rear. The  lingers for 24 hours.		platinumdex bwdex b2w2dex	diamonddex	
					
					
					
	It prefers an arid atmosphere. It leaks water that looks like tears when adjusting its moisture level.			platinumdex bwdex b2w2dex	
In an attempt to confuse its enemy, it mimics the enemy’s movements. Then it wastes no time in making itself scarce!	It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.		hgssdex		
					
It mimics the cries of other Pokémon to trick them into thinking it's one of them. This way they won't attack it.	It can learn and speak human words. If they gather, they all learn the same saying.		hgssdex		
A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.	It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.				
It nests in horizontal holes warmed by geothermal heat. Foes who get too close can expect to be pounced on and bitten.	It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.		hgssdex	diamonddex	
It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.	As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.			hgssdex	
When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed.	It flies at speeds equal to a jet fighter plane. It never allows its prey to escape.		diamonddex	pearldex	
It hides food under its long body hair. However, it forgets it has hidden the food.	It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.		pearldex	hgssdex	
It uses the shapes of auras, which change according to emotion, to communicate with others.	The aura that emanates from its body intensifies to alert others if it is afraid or sad.		b2w2dex		
By catching the Aura emanating from others, it can read their thoughts and movements.	By reading the auras of all things, it can tell how others are feeling from over half a mile away.		pearldex		
It lives in arid places. Instead of perspiration, it expels grainy sand from its body.	It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.		diamonddex	pearldex	
					
It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.	It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.		diamonddex	hgssdex	
It takes great pride in its strength. Even though it can tear foes apart, it finishes them off with powerful poison.	It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.			diamonddex	
Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.	Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.			b2w2dex	
	Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.			diamonddex	
It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.	It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.			bwdex	
					
					
The pattern on its back varies by region. It often swims in a school of .	When it swims close to the surface of the ocean, people aboard ships are able to observe the pattern on its back.		b2w2dex	hgssdex	
During cold seasons, it migrates to the mountain's lower reaches. It returns to the snow-covered summit in the spring.	In the spring, it grows berries with the texture of frozen treats around its belly.		hgssdex	pearldex	
It blankets wide areas in snow by whipping up blizzards. It is also known as "The Ice Monster."	It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.		pearldex	hgssdex	
					
Sometimes the magnetism emitted by Magnezone is too strong, making them attract each other so they cannot move.			b2w2dex		
It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.	Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.			b2w2dex	
From holes in its palms, it fires out Geodude. Its carapace can withstand volcanic eruptions.			hgssdex		
It ensnares prey by extending arms mades of vines. Losing arms to predators does not trouble it.					
					
					
It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!	Its flight is soundless. It uses its lengthy tail to carry off its prey... Then its elongated fangs do the rest.		dpdex	hgssdex	
					
					
Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce.	A master of courtesy and swordsmanship, it fights using extending swords on its elbows.		hgssdex	dpdex	
	It freely controls three small units called Mini-Noses using magnetic force.			platinumdex bwdex	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.	Extremely cautious, one of them will always be on the lookout, but it won't notice a foe coming from behind.		blackdex	b2w2dex	
Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.	When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.		b2w2dex	blackdex	
The long hair around its face provides an amazing radar that lets it sense subtle changes in its surroundings.	Though it is a very brave Pokémon, it's also smart enough to check its foe's strength and avoid battle.		whitedex	b2w2dex	
					
					
Its cute act is a ruse. When victims let down their guard, they find their items taken. It attacks with sharp claws.	They steal from people for fun, but their victims can't help but forgive them. Their deceptively cute act is perfect.		whitedex	blackdex	
Their beautiful form comes from the muscles they have developed. They run silently in the night.	Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react.		b2w2dex	whitedex	
It shares the leaf on its head with weary-looking Pokémon. These leaves are know to relieve stress.	It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.			b2w2dex	
It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.			whitedex		
Very intelligent, it roasts berries before eating them. It likes to help people.	This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach .		b2w2dex	whitedex	
A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.			whitedex		
The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.	The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.		b2w2dex	blackdex	
The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall.			whitedex		
This Pokémon appears before people and Pokémon who are having nightmares and eats those dreams.	It eats the dreams of people and Pokémon. When it eats a pleasant dream, it expels pink-colored mist.		b2w2dex	whitedex	
					
					
Many people believe that, deep in the forest where Tranquill live, there is a peaceful place where there is no war					
					
					
Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel.	They were discovered a hundred years ago in an earthquake fissure. Inside each one is an energy core.		blackdex	whitedex	
Because its energy was too great to be contained, the energy leaked and formed orange crystals.	When it is healthy, its core sticks out. Always facing the same way, it swiftly moves front to back and left to right.		whitedex	b2w2dex	
					
Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.	The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.		blackdex	b2w2dex	
It shakes its tail vigorously when it emits ultrasonic waves strong enough to reduce concrete to rubble.	Anyone who comes into contact with the ultrasonic waves emitted by a courting male experiences a positive mood shift.		b2w2dex	whitedex	
					
It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.	More than  below the surface they build mazelike nests. Their activity can be destructive to subway tunnels.		blackdex		
Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch.	It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.		b2w2dex	blackdex	
These Pokémon appear at building sites and help out with construction. They always carry squared logs.	Always carrying squared logs, they help out with construction. As they grow, they carry bigger logs.		whitedex	b2w2dex	
With strengthened bodies, they skillfully wield steel beams to take down buildings.	This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.		b2w2dex	blackdex	
It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.	Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete.		blackdex	b2w2dex	
					
					
					
When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.	When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger.		blackdex	b2w2dex	
Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping.			b2w2dex		
	Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.			b2w2dex	
Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.	It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests.		blackdex	whitedex	
Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.			b2w2dex		
It discovers what is going on around it by using the feelers on its head and tail. It is brutally aggressive.	Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.		whitedex	blackdex	
Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.	It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent.		blackdex	whitedex	
	With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.			blackdex	
					
					
The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.	Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.		blackdex	whitedex	
					
Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.	Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other's school.		b2w2dex	whitedex	
It moves along below the sand's surface, except for its nose and eyes. A dark membrane shields its eyes from the sun.	They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.		whitedex	blackdex	
They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.	The special membrane covering its eyes can sense the heat of objects, so it can see its surroundings even in darkness.		blackdex		
Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes.			b2w2dex		
					
	Arid regions are their habitat. They move rhythmically, making a sound similar to maracas.			whitedex	
It makes a hole in a suitable rock. If that rock breaks, the Pokémon remains agitated until it locates a replacement.	When it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into.		whitedex	b2w2dex	
