恶臭,惡臭,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,發出臭氣，在攻擊的時候，有時會使對手畏縮。,通過釋放臭臭的氣味，在攻擊的時候，有時會使對手畏縮。
颊囊,頰囊,无论是哪种树果，食用后，ＨＰ都会回复。,無論是哪種樹果，吃下去後ＨＰ都會回復。,無論是哪種樹果，食用後，ＨＰ都會回復。
变幻自如,變幻自如,变为与自己使出的招式相同的属性。,變為與自己使出的招式相同的屬性。,變為與自己使出的招式相同的屬性。
毛皮大衣,毛皮大衣,对手给予的物理招式的伤害会减半。,對手的物理招式造成的傷害會減半。,對手給予的物理招式的傷害會減半。
魔术师,魔術師,夺走被自己的招式击中的对手的道具。,奪走被自己招式擊中的對手的道具。,奪走被自己的招式擊中的對手的道具。
防弹,防彈,可以防住对手的球和弹类招式。,可防住對手的球和彈類的招式。,可以防住對手的球和彈類招式。
好胜,好勝,如果能力被降低，特攻就会大幅提高。,能力被降低時，特攻會大幅提高。,如果能力被降低，特攻就會大幅提高。
强壮之颚,強壯之顎,因为颚部强壮，啃咬类招式的威力会提高。,顎部強壯，會提高啃咬類招式的威力。,因為顎部強壯，啃咬類招式的威力會提高。
冰冻皮肤,冰凍皮膚,一般属性的招式会变为冰属性。威力会少量提高。,一般屬性的招式會變為冰屬性。威力會少量提高。,一般屬性的招式會變為冰屬性。威力會少量提高。
甜幕,甜幕,我方的宝可梦不会变为睡眠状态。,我方的寶可夢不會陷入睡眠狀態。,我方的寶可夢不會變為睡眠狀態。
战斗切换,戰鬥切換,如果使出攻击招式，会变为刀剑形态，如果使出招式“王者盾牌”，会变为盾牌形态。,若使出攻擊招式，會變為刀劍形態，若使出招式「王者盾牌」，會變為盾牌形態。,如果使出攻擊招式，會變為刀劍形態，如果使出招式「王者盾牌」，會變為盾牌形態。
疾风之翼,疾風之翼,ＨＰ全满时，飞行属性的招式可以率先使出。,ＨＰ全滿時，可以搶先在對手之前使出飛行屬性的招式。,ＨＰ全滿時，飛行屬性的招式可以率先使出。
超级发射器,超級發射器,波动和波导类招式的威力会提高。,波動和波導類招式的威力會提高。,波動和波導類招式的威力會提高。
草之毛皮,草之毛皮,在青草场地时，防御会提高。,在青草場地時，防禦會提高。,在青草場地時，防禦會提高。
共生,共生,同伴使用道具时，会把自己持有的道具传递给同伴。,同伴使用道具時，會把自己持有的道具交給同伴。,夥伴使用道具時，會把自己持有的道具傳遞給夥伴。
硬爪,硬爪,接触到对手的招式威力会提高。,接觸到對手的招式威力會提高。,接觸到對手的招式威力會提高。
妖精皮肤,妖精皮膚,一般属性的招式会变为妖精属性。威力会少量提高。,一般屬性的招式會變為妖精屬性。威力會少量提高。,一般屬性的招式會變為妖精屬性。威力會少量提高。
黏滑,黏滑,对于用攻击接触到自己的对手，会降低其速度。,對手用攻擊接觸到自己時，降低此對手的速度。,對於用攻擊接觸到自己的對手，會降低其速度。
飞行皮肤,飛行皮膚,一般属性的招式会变为飞行属性。威力会少量提高。,一般屬性的招式會變為飛行屬性。威力會少量提高。,一般屬性的招式會變為飛行屬性。威力會少量提高。
亲子爱,親子愛,亲子俩可以合计攻击２次。,親子倆可合計攻擊２次。,親子倆可以合計攻擊２次。
暗黑气场,暗黑氣場,全体的恶属性招式变强。,全體的惡屬性招式變強。,全體的惡屬性招式變強。
妖精气场,妖精氣場,全体的妖精属性招式变强。,全體的妖精屬性招式變強。,全體的妖精屬性招式變強。
气场破坏,氣場破壞,让气场的效果发生逆转，降低威力。,讓氣場的效果逆轉，並降低威力。,讓氣場的效果發生逆轉，降低威力。
始源之海,始源之海,变为不会受到火属性攻击的天气。,變為讓火屬性攻擊失效的天氣。,變為不會受到火屬性攻擊的天氣。
终结之地,終結之地,变为不会受到水属性攻击的天气。,變為讓水屬性攻擊失效的天氣。,變為不會受到水屬性攻擊的天氣。
德尔塔气流,德爾塔氣流,变为令飞行属性的弱点消失的天气。,變為令飛行屬性的弱點消失的天氣。,變為令飛行屬性的弱點消失的天氣。
持久力,持久力,受到攻击时，防御会提高。,受到攻擊時，防禦會提高。,受到攻擊時，防禦會提高。
跃跃欲逃,躍躍欲逃,ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍中。,ＨＰ變為一半時，會慌慌張張逃走，退回同行隊伍裡面。,ＨＰ變為一半時，會慌慌張張逃走，退回同行隊伍中。
危险回避,危險迴避,ＨＰ变为一半时，为了回避危险，会退回到同行队伍中。,ＨＰ減到一半時，為了避開危險，會退回同行隊伍裡面。,ＨＰ變為一半時，為了迴避危險，會退回到同行隊伍中。
遇水凝固,遇水凝固,受到水属性的招式攻击时，防御会大幅提高。,受到水屬性的招式攻擊時，防禦會大幅提高。,受到水屬性的招式攻擊時，防禦會大幅提高。
不仁不义,不仁不義,攻击中毒状态的对手时，必定会击中要害。,攻擊中毒狀態的對手時，必定會擊中要害。,攻擊中毒狀態的對手時，必定會擊中要害。
界限盾壳,界限盾殼,ＨＰ变为一半时，壳会坏掉，变得有攻击性。,ＨＰ變為一半時，殼會壞掉，變得更有攻擊性。,ＨＰ變為一半時，殼會壞掉，變得有攻擊性。
蹲守,監視,可以对替换出场的对手以２倍的伤害进行攻击。,可以向替換出場的對手以２倍的傷害進行攻擊。,可以對替換出場的對手以２倍的傷害進行攻擊。
水泡,水泡,降低与自己相对的火属性招式的威力，不会灼伤。,降低與自己相對的火屬性招式的威力，不會灼傷。,降低與自己相對的火屬性招式的威力，不會灼傷。
钢能力者,鋼能力者,钢属性的招式威力会提高。,鋼屬性的招式威力會提高。,鋼屬性的招式威力會提高。
怒火冲天,怒火沖天,因对手的攻击ＨＰ变为一半时，特攻会提高。,ＨＰ因對手的攻擊降到一半時，特攻會提高。,因對手的攻擊ＨＰ變為一半時，特攻會提高。
拨雪,撥雪,冰雹天气时，速度会提高。,天氣為冰雹時，速度會提高。,冰雹天氣時，速度會提高。
远隔,遠隔,可以不接触对手就使出所有的招式。,可以不接觸對手就使出所有的招式。,可以不接觸對手就使出所有的招式。
湿润之声,濕潤之聲,所有的声音招式都变为水属性。,所有的聲音招式都變為水屬性。,所有的聲音招式都變為水屬性。
先行治疗,先行治療,可以率先使出回复招式。,可以搶先使出回復招式。,可以率先使出回復招式。
电气皮肤,電氣皮膚,一般属性的招式会变为电属性。威力会少量提高。,一般屬性的招式會變為電屬性。威力會少量提高。,一般屬性的招式會變為電屬性。威力會少量提高。
冲浪之尾,衝浪之尾,电气场地时，速度会变为２倍。,電氣場地時，速度會變為２倍。,電氣場地時，速度會變為２倍。
鱼群,魚群,ＨＰ多的时候会聚起来变强。ＨＰ剩余量变少时，群体会分崩离析。,ＨＰ多的時候會聚起來變強。ＨＰ剩餘量變少時，群體會分崩離析。,ＨＰ多的時候會聚起來變強。ＨＰ剩餘量變少時，群體會分崩離析。
画皮,畫皮,通过画皮覆盖住身体，可以防住１次攻击。,用畫皮覆蓋住身體，可防住１次攻擊。,通過畫皮覆蓋住身體，可以防住１次攻擊。
牵绊变身,牽絆變身,打倒对手时，与训练家的牵绊会增强，变为小智版甲贺忍蛙。飞水手里剑的招式威力会增强。,打倒對手時，與訓練家的牽絆會加深，變化成小智版甲賀忍蛙。飛水手裡劍的威力會增強。,打倒對手時，與訓練家的牽絆會增強，變為小智版甲賀忍蛙。飛水手裡劍的招式威力會增強。
群聚变形,群聚變形,ＨＰ变为一半时，细胞们会赶来支援，变为完全体形态。,ＨＰ變為一半時，細胞們會趕來支援，變為完全體形態。,ＨＰ變為一半時，細胞們會趕來支援，變為完全體形態。
腐蚀,腐蝕,可以使钢属性和毒属性的宝可梦也陷入中毒状态。,就算對方是鋼屬性或毒屬性寶可夢，也可讓對方陷入中毒狀態。,可以使鋼屬性和毒屬性的寶可夢也陷入中毒狀態。
绝对睡眠,絕對睡眠,总是半梦半醒的状态，绝对不会醒来。可以就这么睡着进行攻击。,總是半夢半醒的狀態，絕對不會醒來。可在睡著的狀況下進行攻擊。,總是半夢半醒的狀態，絕對不會醒來。可以就這麼睡著進行攻擊。
女王的威严,女王的威嚴,向对手施加威慑力，使其无法对我方使出先制招式。,向對手施加威懾力，使其無法對我方使出先制招式。,向對手施加威懾力，使其無法對我方使出先制招式。
飞出的内在物,飛出的內在物,被对手打倒的时候，会给予对手相当于ＨＰ剩余量的伤害。,被對手打倒的時候，會給予對手相當於ＨＰ剩餘量的傷害。,被對手打倒的時候，會給予對手相當於ＨＰ剩餘量的傷害。
舞者,舞者,有谁使出跳舞招式时，自己也能就这么接着使出跳舞招式。,當有誰使出跳舞招式時，自己也能接著使出跳舞招式。,有誰使出跳舞招式時，自己也能就這麼接著使出跳舞招式。
蓄电池,蓄電池,会提高我方的特殊招式的威力。,會提高我方的特殊招式的威力。,會提高我方的特殊招式的威力。
毛茸茸,毛茸茸,会将对手所给予的接触类招式的伤害减半，但火属性招式的伤害会变为２倍。,會將對手所給予的接觸類招式的傷害減半，但火屬性招式的傷害會變為２倍。,會將對手所給予的接觸類招式的傷害減半，但火屬性招式的傷害會變為２倍。
鲜艳之躯,鮮艷之軀,让对手吓一跳，使其无法对我方使出先制招式。,讓對手嚇一跳，使其無法對我方使出先制招式。,讓對手嚇一跳，使其無法對我方使出先制招式。
魂心,魂心,宝可梦每次变为濒死状态时，特攻会提高。,每當場上有寶可夢陷入瀕死狀態時，特攻就會提高。,寶可夢每次變為瀕死狀態時，特攻會提高。
卷发,捲髮,对于用攻击接触到自己的对手，会降低其速度。,對手用攻擊接觸到自己時，降低此對手的速度。,對於用攻擊接觸到自己的對手，會降低其速度。
接球手,接球手,继承被打倒的同伴的特性，变为相同的特性。,繼承被打倒的同伴的特性，變為相同的特性。,繼承被打倒的夥伴的特性，變為相同的特性。
化学之力,化學之力,继承被打倒的同伴的特性，变为相同的特性。,繼承被打倒的同伴的特性，變為相同的特性。,繼承被打倒的夥伴的特性，變為相同的特性。
异兽提升,異獸提升,打倒对手的时候，自己最高的那项能力会提高。,打倒對手的時候，會提高自己最高的那項能力。,打倒對手的時候，自己最高的那項能力會提高。
ＡＲ系统,ＡＲ系統,根据持有的存储碟，自己的属性会改变。,根據持有的記憶碟，自己的屬性會改變。,根據持有的記憶碟，自己的屬性會改變。
电气制造者,電氣製造者,出场时，会布下电气场地。,出場時，會布下電氣場地。,出場時，會布下電氣場地。
精神制造者,精神製造者,出场时，会布下精神场地。,出場時，會布下精神場地。,出場時，會布下精神場地。
薄雾制造者,薄霧製造者,出场时，会布下薄雾场地。,出場時，會布下薄霧場地。,出場時，會布下薄霧場地。
青草制造者,青草製造者,出场时，会布下青草场地。,出場時，會布下青草場地。,出場時，會布下青草場地。
金属防护,金屬防護,不会因为对手的招式或特性而被降低能力。,不會因對手的招式或特性而被降低能力。,不會因為對手的招式或特性而被降低能力。
幻影防守,幻影防守,ＨＰ全满时，受到的伤害会变少。,ＨＰ全滿時，受到的傷害會變少。,ＨＰ全滿時，受到的傷害會變少。
棱镜装甲,稜鏡裝甲,受到效果绝佳的攻击时，可以减弱其威力。,受到效果絕佳的攻擊時，可減弱其威力。,受到效果絕佳的攻擊時，可以減弱其威力。
